year,quarter,month,location,beverage_group,tax,price,under_report
2013,1,1,Berkeley,soda,Non-taxed,4.853398537985577,
2013,1,1,Non-Berkeley,soda,Non-taxed,3.510270694125026,
2013,1,1,Non-Berkeley,soda,Non-taxed,3.889571762814742,
2013,1,1,Berkeley,soda,Taxed,3.682804978351863,
2013,1,1,Non-Berkeley,soda,Taxed,3.516437075395838,
2013,1,1,Non-Berkeley,soda,Taxed,3.907629703042869,
2013,1,1,Berkeley,fruit drinks/flavored waters,Non-taxed,4.319401483385109,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Non-taxed,4.229744057498483,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Non-taxed,3.904459010565161,
2013,1,1,Berkeley,fruit drinks/flavored waters,Taxed,3.465701433610795,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Taxed,3.191151060161571,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Taxed,3.335774322019384,
2013,1,1,Berkeley,milk substitutes,Non-taxed,5.710513062202965,
2013,1,1,Non-Berkeley,milk substitutes,Non-taxed,4.891697667239544,
2013,1,1,Non-Berkeley,milk substitutes,Non-taxed,6.170763231904972,
2013,1,1,Berkeley,milk substitutes,Taxed,4.012454374774049,
2013,1,1,Non-Berkeley,milk substitutes,Taxed,3.736854575259064,
2013,1,1,Non-Berkeley,milk substitutes,Taxed,3.791220118211591,
2013,1,1,Berkeley,water,Non-taxed,.8658206953334407,
2013,1,1,Non-Berkeley,water,Non-taxed,.8491265764269658,
2013,1,1,Non-Berkeley,water,Non-taxed,.9358547638434321,
2013,1,1,Berkeley,milk,Non-taxed,2.630666111304075,
2013,1,1,Non-Berkeley,milk,Non-taxed,2.564660721357999,
2013,1,1,Non-Berkeley,milk,Non-taxed,2.465559007005278,
2013,1,1,Berkeley,soda,Non-taxed,5.060121295165018,
2013,1,1,Berkeley,soda,Non-taxed,5.638658217643679,
2013,1,1,Non-Berkeley,soda,Non-taxed,5.285756852047073,
2013,1,1,Non-Berkeley,soda,Non-taxed,5.733385281170952,
2013,1,1,Non-Berkeley,soda,Non-taxed,5.292967649033272,
2013,1,1,Berkeley,soda,Taxed,9.292840361802799,
2013,1,1,Berkeley,soda,Taxed,10.11457848555865,
2013,1,1,Non-Berkeley,soda,Taxed,9.522657501923344,
2013,1,1,Non-Berkeley,soda,Taxed,9.156222320581973,
2013,1,1,Non-Berkeley,soda,Taxed,10.06763842328975,
2013,1,1,Berkeley,fruit drinks/flavored waters,Non-taxed,11.03231208401852,
2013,1,1,Berkeley,fruit drinks/flavored waters,Non-taxed,10.54744936515442,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Non-taxed,10.6815442768678,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Non-taxed,10.19930994789266,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Non-taxed,11.40726031412501,
2013,1,1,Berkeley,fruit drinks/flavored waters,Taxed,11.41477209602133,
2013,1,1,Berkeley,fruit drinks/flavored waters,Taxed,11.52652946480358,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Taxed,11.66939473163484,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Taxed,9.613205079590113,
2013,1,1,Non-Berkeley,fruit drinks/flavored waters,Taxed,10.9391057588205,
2013,1,1,Berkeley,milk substitutes,Non-taxed,8.980907462722453,
2013,1,1,Berkeley,milk substitutes,Non-taxed,9.435940254129738,
2013,1,1,Non-Berkeley,milk substitutes,Non-taxed,9.151140824924932,
2013,1,1,Non-Berkeley,milk substitutes,Non-taxed,9.282352719411534,
2013,1,1,Non-Berkeley,milk substitutes,Non-taxed,9.700643386238431,
2013,1,1,Berkeley,milk substitutes,Taxed,11.78253986899589,
2013,1,1,Berkeley,milk substitutes,Taxed,12.94300313474352,
2013,1,1,Non-Berkeley,milk substitutes,Taxed,11.51213554460013,
2013,1,1,Non-Berkeley,milk substitutes,Taxed,13.99530769567056,
2013,1,1,Non-Berkeley,milk substitutes,Taxed,11.91887068728837,
2013,1,1,Berkeley,water,Non-taxed,2.901352406039536,
2013,1,1,Berkeley,water,Non-taxed,2.813612775663078,
2013,1,1,Non-Berkeley,water,Non-taxed,2.365955760307326,
2013,1,1,Non-Berkeley,water,Non-taxed,2.069248806383146,
2013,1,1,Non-Berkeley,water,Non-taxed,3.043691488097026,
